Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-09-17 18:44:22,false,"Cambridge Running","13.01","892","01:26:08","142","164","3.2","166","190","6:37","4:09","3","3","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:13.71","33","0.0","01:23:44","02:03:12","10","13"
Running,2019-09-16 06:46:59,false,"Cambridge Running","9.01","732","01:02:23","151","180","3.9","166","172","6:56","6:08","33","36","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.51","10","0.0","01:02:10","01:05:03","3","33"
Running,2019-09-15 12:21:45,false,"Cambridge Running","13.33","1,174","01:23:46","172","196","5.0","167","182","6:17","4:52","32","31","1.53","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:14.59","22","0.0","01:23:36","01:32:47","3","21"
Running,2019-09-14 12:19:37,false,"Lexington Running","10.01","895","01:08:31","162","184","5.0","165","176","6:51","5:46","242","255","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.43","11","0.0","01:08:29","01:10:16","126","228"
Running,2019-09-13 17:27:46,false,"Cambridge Running","9.02","699","01:04:06","144","179","3.4","164","232","7:07","5:17","587","586","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:59.07","21","0.0","01:03:56","01:17:08","4","180"
Running,2019-09-13 07:15:56,false,"Cambridge Running","4.01","346","00:28:52","151","173","3.2","164","174","7:12","6:36","41","45","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.72","5","0.0","00:28:51","00:29:17","10","52"
Running,2019-09-12 18:06:20,false,"Needham Running","10.08","862","01:10:06","155","183","4.4","165","181","6:57","6:22","229","229","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:32.84","11","0.0","01:09:57","01:14:32","80","162"
Running,2019-09-11 17:55:40,false,"Needham Running","8.01","666","00:59:20","144","168","3.4","164","176","7:25","6:05","206","205","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.04","9","0.0","00:59:17","01:00:59","74","115"
Running,2019-09-11 07:50:37,false,"Cambridge Running","4.01","360","00:29:11","151","176","3.2","161","169","7:17","6:47","25","25","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.45","5","0.0","00:29:10","00:30:01","10","26"
Running,2019-09-10 18:42:50,false,"Cambridge Running","13.09","915","01:22:18","148","186","3.6","168","190","6:17","4:23","6","2","1.51","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.70","26","0.0","01:20:21","02:05:36","10","14"
Running,2019-09-08 07:04:32,false,"Boston Running","18.59","1,663","02:03:54","164","189","5.0","167","190","6:40","4:40","49","51","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:53.16","19","0.0","02:03:48","02:03:54","3","17"
Running,2019-09-07 13:08:09,false,"Cambridge Running","8.27","676","00:56:40","150","173","3.5","168","240","6:51","4:53","75","78","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:49.98","9","0.0","00:56:20","01:18:56","3","45"
Running,2019-09-06 17:14:40,false,"Needham Running","4.02","355","00:29:55","146","161","3.0","167","188","7:26","5:16","289","284","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.23","15","0.0","00:29:51","00:30:32","79","125"
Running,2019-09-06 16:50:29,false,"Needham Running","3.04","202","00:16:23","150","158","2.6","173","180","5:23","4:58","32","44","1.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:13.50","4","0.0","00:16:22","00:17:56","73","101"
Running,2019-09-06 16:22:05,false,"Needham Running","2.99","224","00:21:10","134","168","2.3","164","173","7:05","6:15","48","47","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:56.79","3","0.0","00:21:10","00:21:10","73","101"
Running,2019-09-05 17:28:45,false,"Needham Running","8.01","657","00:57:33","145","175","3.4","164","180","7:11","5:40","151","145","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.51","9","0.0","00:56:57","01:00:28","74","120"
Running,2019-09-05 05:37:08,false,"Cambridge Running","4.03","320","00:29:14","140","163","2.8","165","172","7:15","6:32","47","45","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.15","5","0.0","00:29:14","00:29:14","10","51"
Running,2019-09-04 17:18:01,false,"Needham Running","9.06","805","01:07:10","150","174","3.8","163","182","7:25","5:53","210","205","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:21.37","10","0.0","01:07:04","01:10:21","74","118"
Running,2019-09-03 18:33:14,false,"Cambridge Running","12.03","818","01:19:23","143","177","3.5","167","210","6:36","4:05","7","7","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.60","23","0.0","01:17:35","02:21:37","10","14"
Running,2019-09-02 13:35:29,false,"Cambridge Running","8.05","662","00:56:22","149","182","3.8","165","171","7:00","6:22","69","73","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:18.40","9","0.0","00:56:13","00:59:53","7","44"
Running,2019-09-01 19:22:54,false,"Cambridge Running","15.01","1,029","01:44:32","142","166","3.1","165","191","6:58","6:20","142","146","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.18","16","0.0","01:44:25","01:56:19","--","62"
Running,2019-08-31 13:29:11,false,"Cambridge Running","8.18","672","00:57:57","154","185","3.8","166","174","7:05","5:52","474","467","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:18.64","9","0.0","00:57:54","01:00:35","7","243"
Running,2019-08-30 14:15:27,false,"Boston Running","10.01","832","01:13:09","149","174","3.9","165","174","7:19","6:22","436","431","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.45","11","0.0","01:12:53","01:20:51","3","166"
Running,2019-08-29 17:32:18,false,"Needham Running","7.01","622","00:51:33","153","173","3.8","165","184","7:21","6:01","151","145","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.02","8","0.0","00:51:25","00:53:03","75","118"
Running,2019-08-29 07:45:08,false,"Cambridge Running","4.01","368","00:29:02","155","173","3.4","166","174","7:14","6:28","44","44","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.83","5","0.0","00:28:55","00:30:29","10","52"
Running,2019-08-28 18:03:03,false,"Lexington Running","9.01","737","01:03:05","148","176","4.0","166","174","7:00","6:09","303","308","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.30","10","0.0","01:03:01","01:04:50","149","226"
Running,2019-08-27 18:10:47,false,"Cambridge Running","11.82","857","01:18:53","146","177","3.7","168","205","6:40","4:15","7","3","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.86","33","0.0","01:14:47","02:02:07","10","13"
Running,2019-08-26 17:30:14,false,"Needham Running","8.01","667","00:58:02","148","169","3.7","164","180","7:15","4:46","155","155","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:14.52","18","0.0","00:57:45","00:58:42","75","118"
Running,2019-08-25 12:01:54,false,"Brookhaven Running","16.12","1,267","01:58:11","149","174","3.4","165","180","7:20","6:49","432","435","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:50.90","17","0.0","01:58:07","02:02:37","--","79"
Running,2019-08-24 07:31:57,false,"Brookhaven Running","8.01","723","01:01:25","147","173","3.4","167","178","7:40","6:32","115","118","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.91","9","0.0","01:01:23","01:03:15","131","207"
